双层LSTM,batch_size = 8,训练20轮，准确率没有明显提高，观察到训练集损失已经十分接近0，甚至出现了0，
可以认为该模型对训练集的拟合已经足够好，但是并没能继续泛化到测试集上，可以认为出现过拟合（overfit），
目前的训练集和测试集的比例是4:1,下一步要寻找更多语料，扩充训练集。
epoch3,batch1700,loss = 0.19570821523666382
epoch3,batch1800,loss = 0.1427900344133377
epoch3,batch1900,loss = 0.13920603692531586
epoch3,batch2000,loss = 0.41716834902763367
epoch3,batch2100,loss = 0.21559563279151917
epoch3,batch2200,loss = 0.1259486973285675
epoch3,batch2300,loss = 0.05935819819569588
epoch3,batch2400,loss = 0.19848600029945374
epoch3,batch2500,loss = 0.09609605371952057
epoch3,batch2600,loss = 0.21792078018188477
epoch3,batch2700,loss = 0.42897871136665344
epoch3,batch2800,loss = 0.25419875979423523
epoch3,batch2900,loss = 0.3047688901424408
epoch3,batch3000,loss = 0.46462520956993103
epoch3,batch3100,loss = 0.5177174806594849
epoch3,batch3200,loss = 0.7460491061210632
epoch3,batch3300,loss = 0.4502866566181183
epoch3,batch3400,loss = 0.03402774780988693
epoch3,batch3500,loss = 0.053926169872283936
epoch3,batch3600,loss = 0.08433861285448074
epoch3,batch3700,loss = 0.11221601068973541
epoch3,batch3800,loss = 0.2094634771347046
epoch3,batch3900,loss = 0.4612792730331421
epoch3,batch4000,loss = 0.07599227875471115
epoch3,batch4100,loss = 0.2098427265882492
epoch3,batch4200,loss = 0.43672996759414673
epoch3,batch4300,loss = 0.27967971563339233
epoch3,batch4400,loss = 0.3467879891395569
epoch3,batch4500,loss = 0.4364616274833679
epoch3,batch4600,loss = 0.16270093619823456
epoch3,batch4700,loss = 0.07196586579084396
epoch3,batch4800,loss = 0.6585167646408081
epoch3,batch4900,loss = 0.332440584897995
epoch3,batch5000,loss = 0.7763772010803223
epoch4,batch100,loss = 0.41567057371139526
epoch4,batch200,loss = 0.5332205891609192
epoch4,batch300,loss = 0.45346754789352417
epoch4,batch400,loss = 0.06878707557916641
epoch4,batch500,loss = 0.28911587595939636
epoch4,batch600,loss = 0.28804782032966614
epoch4,batch700,loss = 0.23968011140823364
epoch4,batch800,loss = 0.38324224948883057
epoch4,batch900,loss = 0.2651306390762329
epoch4,batch1000,loss = 0.04352083429694176
epoch4,batch1100,loss = 0.16303610801696777
epoch4,batch1200,loss = 0.4009064733982086
epoch4,batch1300,loss = 0.5369111895561218
epoch4,batch1400,loss = 0.17165657877922058
epoch4,batch1500,loss = 0.10662293434143066
epoch4,batch1600,loss = 0.7562323808670044
epoch4,batch1700,loss = 0.1832638680934906
epoch4,batch1800,loss = 0.302051305770874
epoch4,batch1900,loss = 0.08459847420454025
epoch4,batch2000,loss = 0.3561827540397644
epoch4,batch2100,loss = 0.14586810767650604
epoch4,batch2200,loss = 0.25332412123680115
epoch4,batch2300,loss = 0.1078534722328186
epoch4,batch2400,loss = 0.13635382056236267
epoch4,batch2500,loss = 0.40370580554008484
epoch4,batch2600,loss = 0.22175055742263794
epoch4,batch2700,loss = 0.4458276629447937
epoch4,batch2800,loss = 0.1725715547800064
epoch4,batch2900,loss = 0.07799333333969116
epoch4,batch3000,loss = 0.059621743857860565
epoch4,batch3100,loss = 0.14538182318210602
epoch4,batch3200,loss = 0.031990088522434235
epoch4,batch3300,loss = 0.6217393279075623
epoch4,batch3400,loss = 0.05430290848016739
epoch4,batch3500,loss = 0.5249420404434204
epoch4,batch3600,loss = 0.004713373724371195
epoch4,batch3700,loss = 0.12886686623096466
epoch4,batch3800,loss = 0.12256145477294922
epoch4,batch3900,loss = 0.278070330619812
epoch4,batch4000,loss = 0.15303108096122742
epoch4,batch4100,loss = 0.06201687827706337
epoch4,batch4200,loss = 0.05219865217804909
epoch4,batch4300,loss = 0.9995285272598267
epoch4,batch4400,loss = 0.1670624315738678
epoch4,batch4500,loss = 0.3238595426082611
epoch4,batch4600,loss = 0.8436582088470459
epoch4,batch4700,loss = 0.16901768743991852
epoch4,batch4800,loss = 0.17638979852199554
epoch4,batch4900,loss = 0.05224446579813957
epoch4,batch5000,loss = 0.23093914985656738
epoch5,batch100,loss = 0.015404404141008854
epoch5,batch200,loss = 0.10376597940921783
epoch5,batch300,loss = 0.09024497121572495
epoch5,batch400,loss = 0.12057344615459442
epoch5,batch500,loss = 0.19290204346179962
epoch5,batch600,loss = 0.0074326712638139725
epoch5,batch700,loss = 0.14275050163269043
epoch5,batch800,loss = 0.37411922216415405
epoch5,batch900,loss = 0.2207801789045334
epoch5,batch1000,loss = 0.0015917170094326138
epoch5,batch1100,loss = 0.41361090540885925
epoch5,batch1200,loss = 0.33456936478614807
epoch5,batch1300,loss = 0.3236106336116791
epoch5,batch1400,loss = 0.9123679399490356
epoch5,batch1500,loss = 0.058783724904060364
epoch5,batch1600,loss = 0.31287631392478943
epoch5,batch1700,loss = 0.017246181145310402
epoch5,batch1800,loss = 0.0019857948645949364
epoch5,batch1900,loss = 0.2261064648628235
epoch5,batch2000,loss = 0.10338926315307617
epoch5,batch2100,loss = 0.07202612608671188
epoch5,batch2200,loss = 0.05709163844585419
epoch5,batch2300,loss = 0.3929780423641205
epoch5,batch2400,loss = 0.09360717982053757
epoch5,batch2500,loss = 0.29919254779815674
epoch5,batch2600,loss = 0.02265949733555317
epoch5,batch2700,loss = 0.09113479405641556
epoch5,batch2800,loss = 0.7873842120170593
epoch5,batch2900,loss = 0.05722701922059059
epoch5,batch3000,loss = 0.59039306640625
epoch5,batch3100,loss = 0.08588843047618866
epoch5,batch3200,loss = 0.025225896388292313
epoch5,batch3300,loss = 0.5598667860031128
epoch5,batch3400,loss = 0.19999735057353973
epoch5,batch3500,loss = 0.5545379519462585
epoch5,batch3600,loss = 0.2271837443113327
epoch5,batch3700,loss = 0.22120940685272217
epoch5,batch3800,loss = 0.25270211696624756
epoch5,batch3900,loss = 0.3074849247932434
epoch5,batch4000,loss = 0.07720258086919785
epoch5,batch4100,loss = 0.13913825154304504
epoch5,batch4200,loss = 0.6872528195381165
epoch5,batch4300,loss = 0.9185100197792053
epoch5,batch4400,loss = 0.1253281682729721
epoch5,batch4500,loss = 0.0854131355881691
epoch5,batch4600,loss = 0.3000955581665039
epoch5,batch4700,loss = 0.026650814339518547
epoch5,batch4800,loss = 0.08194199204444885
epoch5,batch4900,loss = 0.041537005454301834
epoch5,batch5000,loss = 0.09615086764097214
epoch6,batch100,loss = 0.031974971294403076
epoch6,batch200,loss = 0.002360830781981349
